building_id,fold,share_12,share_24,share_48,observed
Bobcat_education_Angela,fold0,0.9180555555555555,0.9180555555555555,0.9180555555555555,1.0
Bobcat_education_Angela,fold1,0.004166666666666667,0.004166666666666667,0.004166666666666667,1.0
Bobcat_education_Angela,fold2,0.48055555555555557,0.48055555555555557,0.48055555555555557,1.0
Bobcat_education_Angela,fold3,0.0,0.0,0.0,1.0
Bobcat_other_Howard,fold0,0.9180555555555555,0.9180555555555555,0.9180555555555555,1.0
Bobcat_other_Howard,fold1,0.004166666666666667,0.004166666666666667,0.004166666666666667,1.0
Bobcat_other_Howard,fold2,0.48055555555555557,0.48055555555555557,0.48055555555555557,1.0
Bobcat_other_Howard,fold3,0.0,0.0,0.0,1.0
Bull_assembly_Brandon,fold0,0.0,0.0,0.0,1.0
Bull_assembly_Brandon,fold1,0.0,0.0,0.0,1.0
Bull_assembly_Brandon,fold2,0.0,0.0,0.0,1.0
Bull_assembly_Brandon,fold3,0.0,0.0,0.0,1.0
Bull_education_Linnie,fold0,0.0,0.0,0.0,1.0
Bull_education_Linnie,fold1,0.0,0.0,0.0,1.0
Bull_education_Linnie,fold2,0.0,0.0,0.0,1.0
Bull_education_Linnie,fold3,0.0,0.0,0.0,1.0
Cockatoo_lodging_Aimee,fold0,0.0,0.0,0.0,1.0
Cockatoo_lodging_Aimee,fold1,0.0,0.0,0.0,0.7555555555555555
Cockatoo_lodging_Aimee,fold2,0.0,0.0,0.0,1.0
Cockatoo_lodging_Aimee,fold3,0.0,0.0,0.0,1.0
Eagle_education_Raul,fold0,0.0,0.0,0.0,1.0
Eagle_education_Raul,fold1,0.0,0.0,0.0,1.0
Eagle_education_Raul,fold2,0.0,0.0,0.0,1.0
Eagle_education_Raul,fold3,0.0,0.0,0.0,1.0
Eagle_health_Vincenza,fold0,0.32083333333333336,0.04722222222222222,0.0,1.0
Eagle_health_Vincenza,fold1,0.1,0.07361111111111111,0.0,1.0
Eagle_health_Vincenza,fold2,0.11666666666666667,0.0,0.0,1.0
Eagle_health_Vincenza,fold3,0.020833333333333332,0.0,0.0,1.0
Fox_education_Theodore,fold0,0.0,0.0,0.0,1.0
Fox_education_Theodore,fold1,0.0,0.0,0.0,1.0
Fox_education_Theodore,fold2,0.0,0.0,0.0,1.0
Fox_education_Theodore,fold3,0.0,0.0,0.0,1.0
Fox_office_Essie,fold0,0.33611111111111114,0.1388888888888889,0.0,1.0
Fox_office_Essie,fold1,0.0,0.0,0.0,1.0
Fox_office_Essie,fold2,0.0,0.0,0.0,1.0
Fox_office_Essie,fold3,0.0,0.0,0.0,1.0
Hog_education_Wayne,fold0,0.9166666666666666,0.7097222222222223,0.6486111111111111,1.0
Hog_education_Wayne,fold1,0.8111111111111111,0.40694444444444444,0.2916666666666667,1.0
Hog_education_Wayne,fold2,0.7902777777777777,0.5013888888888889,0.2861111111111111,1.0
Hog_education_Wayne,fold3,0.015277777777777777,0.0,0.0,1.0
Hog_office_Bryan,fold0,0.44305555555555554,0.44305555555555554,0.44305555555555554,1.0
Hog_office_Bryan,fold1,0.3277777777777778,0.3277777777777778,0.3277777777777778,1.0
Hog_office_Bryan,fold2,0.36666666666666664,0.36666666666666664,0.36666666666666664,1.0
Hog_office_Bryan,fold3,0.07361111111111111,0.07361111111111111,0.07361111111111111,1.0
Moose_education_Marlon,fold0,1.0,1.0,1.0,1.0
Moose_education_Marlon,fold1,1.0,1.0,1.0,1.0
Moose_education_Marlon,fold2,1.0,1.0,1.0,1.0
Moose_education_Marlon,fold3,0.34305555555555556,0.34305555555555556,0.34305555555555556,1.0
